r_mm,cuerda_mm,theta_rad,theta_deg,p1_x,p1_y,p2_x,p2_y
0.0,3542,1.2083,69.23,-628.005249,-1655.913818,628.005249,1655.913818
5000.0,4012,0.23185,13.28,-1956.5592,-470.990882,1948.003789,450.848239
10000.0,4567,0.23175,13.28,2182.310094,545.334863,-2262.434143,-503.571089
15000.0,4618,0.19425,11.13,-2378.163939,-441.037984,2153.090211,450.401642
20000.0,4360,0.16867,9.66,2017.167729,364.941059,-2280.853724,-366.961543
25000.0,4087,0.14229,8.15,1924.839204,295.229917,-2120.601899,-284.331583
30000.0,3772,0.11628,6.66,1632.574876,169.230899,-2113.928219,-268.372718
35000.0,3471,0.09155,5.25,-1857.990832,-212.454358,1598.792203,104.897125
40000.0,3171,0.06657,3.81,-1533.949518,-132.621771,1629.914646,78.315206
45000.0,2872,0.04495,2.58,1348.155988,34.03164,-1520.617952,-94.999521
50000.0,2570,0.02863,1.64,-1076.504398,-60.271852,1492.062968,13.296013
55000.0,2263,0.01188,0.68,-1060.392837,-45.047505,1202.185562,-18.163105
60000.0,1307,0.00017,0.01,-608.12175,-17.89778,699.354637,-17.680444
